"calf_id","calf_sex","weight","sample_week","agro_ecological_zones"
"CA030710190","F","40",21,"Otimong (7)"
"CA030710186","M","NA",36,"Otimong (7)"
"CA030710182","M","NA",46,"Otimong (7)"
"CA030710193","M","30",11,"Otimong (7)"
"CA020610165","M","21",1,"Karisa (6)"
"CA051910551","F","17",6,"Bujwanga (19)"
"CA041710487","M","35",16,"Kodiere (17)"
"CA041710488","M","NA",16,"Kodiere (17)"
"CA041710489","F","27",11,"Kodiere (17)"
"CA051910548","F","27",16,"Bujwanga (19)"
"CA041710482","M","90",51,"Kodiere (17)"
"CA010310061","F","40.5",51,"Kokare (3)"
"CA030910242","F","53",51,"Bulwani (9)"
"CA030910243","F","NA",46,"Bulwani (9)"
"CA030910244","M","33",26,"Bulwani (9)"
"CA030910249","F","24",11,"Bulwani (9)"
"CA030910246","F","35",21,"Bulwani (9)"
"CA031210335","M","NA",21.8571428571429,"Bumala A (12)"
"CA051810511","M","82.5",51,"Luanda (18)"
"CA031410392","F","NA",41,"Simur East (14)"
"CA031410394","M","40",26,"Simur East (14)"
"CA031410397","M","38",21,"Simur East (14)"
"CA031410391","M","109",51,"Simur East (14)"
"CA010210033","F","NA",46,"Kidera (2)"
"CA010210035","F","NA",31,"Kidera (2)"
"CA010210043","M","20",6,"Kidera (2)"
"CA010210034","F","NA",41,"Kidera (2)"
"CA010210031","F","50",51,"Kidera (2)"
"CA031010272","M","86",51,"Bukati (10)"
"CA031010283","M","30",11,"Bukati (10)"
"CA031010273","M","NA",46,"Bukati (10)"
"CA031010274","M","NA",41,"Bukati (10)"
"CA041510427","M","50",26,"Namboboto (15)"
"CA041510430","M","24",11,"Namboboto (15)"
"CA041510432","M","31",6,"Namboboto (15)"
"CA041510429","M","42.5",16,"Namboboto (15)"
"CA041510421","M","77.5",51,"Namboboto (15)"
"CA052010574","F","NA",41,"Magombe East (20)"
"CA052010576","M","25",26,"Magombe East (20)"
"CA052010572","M","NA",46,"Magombe East (20)"
"CA020510124","M","NA",41,"Kamunuoit (5)"
"CA020510125","F","46",31,"Kamunuoit (5)"
"CA020510129","F","39",21,"Kamunuoit (5)"
"CA020510126","F","40",31,"Kamunuoit (5)"
"CA020510121","F","47",51,"Kamunuoit (5)"
"CA020510122","M","68.5",51,"Kamunuoit (5)"
"CA031110304","F","NA",41,"Ikonzo (11)"
"CA031110309","F","37",21,"Ikonzo (11)"
"CA031110301","F","NA",46,"Ikonzo (11)"
"CA031110311","M","26",11,"Ikonzo (11)"
"CA031110306","F","39",31,"Ikonzo (11)"
"CA031110310","F","32",16,"Ikonzo (11)"
"CA030810215","F","NA",46,"Igero (8)"
"CA030810214","F","NA",46,"Igero (8)"
"CA030810212","M","61.5",51,"Igero (8)"
"CA030810213","M","41",51,"Igero (8)"
"CA031310371","M","35",16,"Yiro West (13)"
"CA031310370","M","29",16,"Yiro West (13)"
"CA031310364","F","NA",46,"Yiro West (13)"
"CA031310362","M","83.5",51,"Yiro West (13)"
"CA010110010","M","46",26,"East Siboti (1)"
"CA010110006","F","NA",41,"East Siboti (1)"
"CA010110004","F","71",51,"East Siboti (1)"
"CA010110009","F","46",31,"East Siboti (1)"
"CA010110008","M","46",31,"East Siboti (1)"
"CA020610151","M","59",51,"Karisa (6)"
"CA020610156","M","NA",41,"Karisa (6)"
"CA020610157","F","NA",41,"Karisa (6)"
"CA020610164","F","28.5",11,"Karisa (6)"
"CA020610153","F","81",51,"Karisa (6)"
"CA031210335","M","NA",24.7142857142857,"Bumala A (12)"
"CA031210333","M","NA",46,"Bumala A (12)"
"CA041610454","F","NA",46,"Ojwando B (16)"
"CA041610451","F","40",51,"Ojwando B (16)"
"CA041610452","F","NA",46,"Ojwando B (16)"
"CA051810517","M","36",31,"Luanda (18)"
"CA051810515","F","NA",41,"Luanda (18)"
"CA051810523","F","19.5",6,"Luanda (18)"
"CA031410393","F","NA",41,"Simur East (14)"
"CA031410396","M","45",21,"Simur East (14)"
"CA031410395","F","42",26,"Simur East (14)"
"CA031410398","M","20",16,"Simur East (14)"
"CA031410400","F","37",11,"Simur East (14)"
"CA031410399","F","32",16,"Simur East (14)"
"CA031410402","F","19",6,"Simur East (14)"
"CA031410403","F","23",6,"Simur East (14)"
"CA031410401","M","23",11,"Simur East (14)"
"CA010210039","M","39",21,"Kidera (2)"
"CA010210040","F","33",16,"Kidera (2)"
"CA010210037","F","42",26,"Kidera (2)"
"CA010210041","M","29",16,"Kidera (2)"
"CA010210042","F","33",11,"Kidera (2)"
"CA031010280","F","28",21,"Bukati (10)"
"CA031010281","F","19",16,"Bukati (10)"
"CA031010278","F","41",26,"Bukati (10)"
"CA031010277","F","39",26,"Bukati (10)"
"CA031010276","M","44",31,"Bukati (10)"
"CA031010282","F","26",11,"Bukati (10)"
"CA041510431","M","24",11,"Namboboto (15)"
"CA041510423","F","NA",46,"Namboboto (15)"
"CA041510428","F","37",21,"Namboboto (15)"
"CA041510433","M","18",6,"Namboboto (15)"
"CA041510426","M","55",26,"Namboboto (15)"
"CA041510425","F","NA",41,"Namboboto (15)"
"CA052010581","M","23",11,"Magombe East (20)"
"CA052010577","M","26",21,"Magombe East (20)"
"CA052010575","F","36",31,"Magombe East (20)"
"CA020510123","M","NA",46,"Kamunuoit (5)"
"CA020510128","M","37",21,"Kamunuoit (5)"
"CA020510130","F","49",16,"Kamunuoit (5)"
"CA020510127","F","41",26,"Kamunuoit (5)"
"CA020510133","F","16",6,"Kamunuoit (5)"
"CA020510131","F","27",16,"Kamunuoit (5)"
"CA020510132","M","26",11,"Kamunuoit (5)"
"CA031110307","F","NA",26,"Ikonzo (11)"
"CA031110302","M","NA",46,"Ikonzo (11)"
"CA031110303","F","NA",46,"Ikonzo (11)"
"CA031110305","M","NA",41,"Ikonzo (11)"
"CA031110313","F","24",6,"Ikonzo (11)"
"CA031110312","F","24",11,"Ikonzo (11)"
"CA030810222","M","29",11,"Igero (8)"
"CA030810224","F","24",6,"Igero (8)"
"CA030810220","F","29",21,"Igero (8)"
"CA030810218","M","39",26,"Igero (8)"
"CA030810221","M","27",16,"Igero (8)"
"CA030810216","M","NA",41,"Igero (8)"
"CA030810223","M","NA",11,"Igero (8)"
"CA030810219","M","NA",21,"Igero (8)"
"CA031310363","M","NA",46,"Yiro West (13)"
"CA031310369","M","36",16,"Yiro West (13)"
"CA031310373","M","34",11,"Yiro West (13)"
"CA031310366","F","NA",41,"Yiro West (13)"
"CA031310372","F","26",11,"Yiro West (13)"
"CA031310374","M","31",6,"Yiro West (13)"
"CA010110013","F","26",16,"East Siboti (1)"
"CA010110014","F","27",11,"East Siboti (1)"
"CA010110011","F","35",21,"East Siboti (1)"
"CA010110015","M","25",6,"East Siboti (1)"
"CA010110005","F","NA",46,"East Siboti (1)"
"CA010110007","F","NA",41,"East Siboti (1)"
"CA020610159","F","NA",31,"Karisa (6)"
"CA020610163","M","35",16,"Karisa (6)"
"CA020610162","M","41",16,"Karisa (6)"
"CA020610165","M","32",6,"Karisa (6)"
"CA020610155","F","NA",46,"Karisa (6)"
"CA031210340","F","42",11,"Bumala A (12)"
"CA031210342","F","23",11,"Bumala A (12)"
"CA041610459","F","36",16,"Ojwando B (16)"
"CA020410101","M","36",16,"Mabusi (4)"
"CA020410102","M","26",11,"Mabusi (4)"
"CA020410100","M","53",21,"Mabusi (4)"
"CA010110016","F","19",1,"East Siboti (1)"
"CA030710196","M","15.5",1,"Otimong (7)"
"CA030710197","M","26",1,"Otimong (7)"
"CA041610464","F","19",1,"Ojwando B (16)"
"CA020610167","M","24.5",1,"Karisa (6)"
"CA010310074","M","25.5",1,"Kokare (3)"
"CA041710495","M","19",1,"Kodiere (17)"
"CA051910554","F","22",1,"Bujwanga (19)"
"CA020410104","F","8.5",1,"Mabusi (4)"
"CA020410105","M","19",1,"Mabusi (4)"
"CA010210043","M","NA",9.85714285714286,"Kidera (2)"
"CA020510125","F","NA",34.1428571428571,"Kamunuoit (5)"
"CA010210046","F","20",1,"Kidera (2)"
"CA010210045","F","26",1,"Kidera (2)"
"CA030910254","F","19",1,"Bulwani (9)"
"CA031010285","M","22.5",1,"Bukati (10)"
"CA020410106","F","19",1,"Mabusi (4)"
"CA030910255","M","20.5",1,"Bulwani (9)"
"CA020510136","F","24",1,"Kamunuoit (5)"
"CA020510135","M","22",1,"Kamunuoit (5)"
"CA041510435","M","22",1,"Namboboto (15)"
"CA031110315","F","12",1,"Ikonzo (11)"
"CA030810225","F","24",6,"Igero (8)"
"CA031110316","M","24",1,"Ikonzo (11)"
"CA031310376","M","24",1,"Yiro West (13)"
"CA031310369","M","38",21,"Yiro West (13)"
"CA020610168","M","19",1,"Karisa (6)"
"CA031210343","M","11.5",1,"Bumala A (12)"
"CA010110018","F","26",1,"East Siboti (1)"
"CA020610159","F","NA",36,"Karisa (6)"
"CA051910551","F","NA",14.4285714285714,"Bujwanga (19)"
"CA030710198","F","20",1,"Otimong (7)"
"CA010310071","M","NA",14.7142857142857,"Kokare (3)"
"CA020410107","M","22",1,"Mabusi (4)"
"CA020410103","F","22",11,"Mabusi (4)"
"CA030910256","M","20",1,"Bulwani (9)"
"CA010310075","M","16",1,"Kokare (3)"
"CA020510125","F","NA",38.8571428571429,"Kamunuoit (5)"
"CA051910555","F","22",1,"Bujwanga (19)"
"CA051910556","M","19.5",1,"Bujwanga (19)"
"CA031410406","M","22",1,"Simur East (14)"
"CA030810228","M","22",1,"Igero (8)"
"CA010110019","M","28",1,"East Siboti (1)"
"CA010110020","M","21",1,"East Siboti (1)"
"CA020410097","F","34",26,"Mabusi (4)"
"CA020410098","M","60",26,"Mabusi (4)"
"CA020410103","F","16",6,"Mabusi (4)"
"CA020410094","F","NA",46,"Mabusi (4)"
"CA020410095","M","46",31,"Mabusi (4)"
"CA030710183","F","40.5",51,"Otimong (7)"
"CA030710193","M","31.5",16,"Otimong (7)"
"CA030710188","M","56",31,"Otimong (7)"
"CA030710190","F","40",26,"Otimong (7)"
"CA030710182","M","76.5",51,"Otimong (7)"
"CA030710186","M","NA",41,"Otimong (7)"
"CA051910552","M","32",6,"Bujwanga (19)"
"CA051910548","F","26",21,"Bujwanga (19)"
"CA051910551","F","17",11,"Bujwanga (19)"
"CA041710489","F","28",16,"Kodiere (17)"
"CA052010576","M","NA",28.4285714285714,"Magombe East (20)"
"CA052010577","M","NA",23.7142857142857,"Magombe East (20)"
"CA010310068","F","34",21,"Kokare (3)"
"CA010310065","F","62",31,"Kokare (3)"
"CA010310072","F","21.5",11,"Kokare (3)"
"CA010310071","M","19",11,"Kokare (3)"
"CA010310070","F","32",16,"Kokare (3)"
"CA030910250","M","28",16,"Bulwani (9)"
"CA030910249","F","37",16,"Bulwani (9)"
"CA030910244","M","36",31,"Bulwani (9)"
"CA030910253","M","18",6,"Bulwani (9)"
"CA030910251","F","27",11,"Bulwani (9)"
"CA051810517","M","NA",36,"Luanda (18)"
"CA051810523","F","24",11,"Luanda (18)"
"CA051810515","F","NA",46,"Luanda (18)"
"CA031410396","M","52",26,"Simur East (14)"
"CA031410393","F","NA",46,"Simur East (14)"
"CA031410395","F","43",31,"Simur East (14)"
"CA031410392","F","NA",46,"Simur East (14)"
"CA031410394","M","34",31,"Simur East (14)"
"CA041710487","M","NA",21.7142857142857,"Kodiere (17)"
"CA052010577","M","NA",24.7142857142857,"Magombe East (20)"
"CA010210039","M","44",26,"Kidera (2)"
"CA010210037","F","46",31,"Kidera (2)"
"CA010210044","M","19",6,"Kidera (2)"
"CA010210041","M","34",21,"Kidera (2)"
"CA010210043","M","22",11,"Kidera (2)"
"CA031010280","F","29",26,"Bukati (10)"
"CA031010281","F","21",21,"Bukati (10)"
"CA031010278","F","44",31,"Bukati (10)"
"CA031010276","M","NA",36,"Bukati (10)"
"CA020510123","M","NA",50.2857142857143,"Kamunuoit (5)"
"CA041510426","M","67",31,"Namboboto (15)"
"CA041510432","M","32",11,"Namboboto (15)"
"CA041510434","F","24",6,"Namboboto (15)"
"CA041510430","M","24",16,"Namboboto (15)"
"CA010310065","F","NA",32.2857142857143,"Kokare (3)"
"CA052010575","F","NA",36,"Magombe East (20)"
"CA052010584","F","25",6,"Magombe East (20)"
"CA052010577","M","24",26,"Magombe East (20)"
"CA020510125","F","NA",36,"Kamunuoit (5)"
"CA020510133","F","20",11,"Kamunuoit (5)"
"CA020510129","F","38",26,"Kamunuoit (5)"
"CA020510134","M","28",6,"Kamunuoit (5)"
"CA020510130","F","59",21,"Kamunuoit (5)"
"CA020510131","F","33",21,"Kamunuoit (5)"
"CA031010281","F","NA",22,"Bukati (10)"
"CA031110304","F","NA",46,"Ikonzo (11)"
"CA031110306","F","NA",36,"Ikonzo (11)"
"CA031110314","F","17",6,"Ikonzo (11)"
"CA031110301","F","66",51,"Ikonzo (11)"
"CA031110309","F","36",26,"Ikonzo (11)"
"CA031110305","M","NA",46,"Ikonzo (11)"
"CA030810220","F","34",26,"Igero (8)"
"CA030810224","F","33",11,"Igero (8)"
"CA020410096","F","63",31,"Mabusi (4)"
"CA020410099","F","39",21,"Mabusi (4)"
"CA030710184","M","NA",46,"Otimong (7)"
"CA030710189","F","35",26,"Otimong (7)"
"CA030710185","M","NA",46,"Otimong (7)"
"CA030710191","M","31",21,"Otimong (7)"
"CA030710192","M","46",21,"Otimong (7)"
"CA031410399","F","NA",16.4285714285714,"Simur East (14)"
"CA041710488","M","48",21,"Kodiere (17)"
"CA041710487","M","NA",21,"Kodiere (17)"
"CA010310062","F","68",51,"Kokare (3)"
"CA010310063","M","70.5",51,"Kokare (3)"
"CA010310067","F","48",26,"Kokare (3)"
"CA010310066","F","31",26,"Kokare (3)"
"CA030910243","F","41",51,"Bulwani (9)"
"CA030910246","F","41",26,"Bulwani (9)"
"CA030910248","M","38",21,"Bulwani (9)"
"CA030910247","F","46",21,"Bulwani (9)"
"CA030910245","M","33",26,"Bulwani (9)"
"CA031410401","M","23",16,"Simur East (14)"
"CA031410397","M","39",26,"Simur East (14)"
"CA031410398","M","27",21,"Simur East (14)"
"CA031410400","F","46",16,"Simur East (14)"
"CA031410404","F","20",6,"Simur East (14)"
"CA031410403","F","26",11,"Simur East (14)"
"CA031410402","F","23",11,"Simur East (14)"
"CA010210033","F","53",51,"Kidera (2)"
"CA010210035","F","NA",36,"Kidera (2)"
"CA010210040","F","42",21,"Kidera (2)"
"CA010210034","F","NA",46,"Kidera (2)"
"CA010210042","F","31",16,"Kidera (2)"
"CA031010273","M","67",51,"Bukati (10)"
"CA031010283","M","41",16,"Bukati (10)"
"CA031010277","F","NA",31,"Bukati (10)"
"CA031010274","M","NA",46,"Bukati (10)"
"CA031010282","F","32",16,"Bukati (10)"
"CA031010284","F","31",6,"Bukati (10)"
"CA041510428","F","45",26,"Namboboto (15)"
"CA041510431","M","29",16,"Namboboto (15)"
"CA041510427","M","60",31,"Namboboto (15)"
"CA041510433","M","30",11,"Namboboto (15)"
"CA041510425","F","NA",46,"Namboboto (15)"
"CA041510429","M","47",21,"Namboboto (15)"
"CA052010574","F","NA",46,"Magombe East (20)"
"CA052010572","M","82",51,"Magombe East (20)"
"CA052010576","M","27",31,"Magombe East (20)"
"CA020510123","M","51",51,"Kamunuoit (5)"
"CA020510124","M","NA",46,"Kamunuoit (5)"
"CA020510126","F","NA",36,"Kamunuoit (5)"
"CA020510132","M","33",16,"Kamunuoit (5)"
"CA031110307","F","NA",31,"Ikonzo (11)"
"CA031110303","F","52",51,"Ikonzo (11)"
"CA031110302","M","69",51,"Ikonzo (11)"
"CA031110312","F","31",16,"Ikonzo (11)"
"CA031110313","F","30",11,"Ikonzo (11)"
"CA031110311","M","31",16,"Ikonzo (11)"
"CA031110310","F","38",21,"Ikonzo (11)"
"CA030810214","F","88",51,"Igero (8)"
"CA030810215","F","64",51,"Igero (8)"
"CA030810216","M","NA",46,"Igero (8)"
"CA030810219","M","58",26,"Igero (8)"
"CA030810218","M","38",31,"Igero (8)"
"CA030810221","M","30",21,"Igero (8)"
"CA030810223","M","54",16,"Igero (8)"
"CA031310363","M","80",51,"Yiro West (13)"
"CA030810222","M","33",16,"Igero (8)"
"CA031310366","F","NA",46,"Yiro West (13)"
"CA031310372","F","30",16,"Yiro West (13)"
"CA031310374","M","35",11,"Yiro West (13)"
"CA031310373","M","41",16,"Yiro West (13)"
"CA010110016","F","26",6,"East Siboti (1)"
"CA010110013","F","34",21,"East Siboti (1)"
"CA010110015","M","29",11,"East Siboti (1)"
"CA010110014","F","33",16,"East Siboti (1)"
"CA010110011","F","40",26,"East Siboti (1)"
"CA010110009","F","NA",36,"East Siboti (1)"
"CA020610167","M","31",6,"Karisa (6)"
"CA020610163","M","42",21,"Karisa (6)"
"CA020610162","M","46",21,"Karisa (6)"
"CA020610166","F","41",6,"Karisa (6)"
"CA020610165","M","43",11,"Karisa (6)"
"CA031210333","M","72",51,"Bumala A (12)"
"CA031210342","F","26",16,"Bumala A (12)"
"CA031210340","F","53",16,"Bumala A (12)"
"CA041610459","F","37",21,"Ojwando B (16)"
"CA041610464","F","22",6,"Ojwando B (16)"
"CA020410102","M","36",16,"Mabusi (4)"
"CA020410101","M","42",21,"Mabusi (4)"
"CA020410105","M","23",6,"Mabusi (4)"
"CA020410100","M","58",26,"Mabusi (4)"
"CA020410106","F","21",6,"Mabusi (4)"
"CA030710191","M","40",26,"Otimong (7)"
"CA030710192","M","50",26,"Otimong (7)"
"CA030710190","F","47",31,"Otimong (7)"
"CA030710195","F","29",11,"Otimong (7)"
"CA030710186","M","NA",46,"Otimong (7)"
"CA030710197","M","36",6,"Otimong (7)"
"CA030710196","M","21",6,"Otimong (7)"
"CA051910554","F","34",6,"Bujwanga (19)"
"CA051910548","F","35",26,"Bujwanga (19)"
"CA051910552","M","48",11,"Bujwanga (19)"
"CA041710495","M","29",6,"Kodiere (17)"
"CA041710488","M","53",26,"Kodiere (17)"
"CA010310065","F","NA",36,"Kokare (3)"
"CA010310072","F","29",16,"Kokare (3)"
"CA010310070","F","41",21,"Kokare (3)"
"CA010310071","M","24",16,"Kokare (3)"
"CA030910245","M","36",31,"Bulwani (9)"
"CA030910249","F","34",21,"Bulwani (9)"
"CA030910251","F","36",16,"Bulwani (9)"
"CA030910255","M","23",6,"Bulwani (9)"
"CA030910248","M","NA",26,"Bulwani (9)"
"CA030910247","F","54",26,"Bulwani (9)"
"CA051810517","M","NA",39.7142857142857,"Luanda (18)"
"CA030810222","M","37",21,"Igero (8)"
"CA030810225","F","30",11,"Igero (8)"
"CA030810220","F","43",31,"Igero (8)"
"CA030810224","F","40",16,"Igero (8)"
"CA010310074","M","NA",9.14285714285714,"Kokare (3)"
"CA031310369","M","39",26,"Yiro West (13)"
"CA031310373","M","45",21,"Yiro West (13)"
"CA031310376","M","30",6,"Yiro West (13)"
"CA031310374","M","37",16,"Yiro West (13)"
"CA010110014","F","40",21,"East Siboti (1)"
"CA010110011","F","42",31,"East Siboti (1)"
"CA010110015","M","37",16,"East Siboti (1)"
"CA010110017","F","41",11,"East Siboti (1)"
"CA010110018","F","30",6,"East Siboti (1)"
"CA010110016","F","32",11,"East Siboti (1)"
"CA010110013","F","44",26,"East Siboti (1)"
"CA020610168","M","35",6,"Karisa (6)"
"CA020610167","M","37",11,"Karisa (6)"
"CA020610163","M","52",26,"Karisa (6)"
"CA020610159","F","NA",41,"Karisa (6)"
"CA020610162","M","52",26,"Karisa (6)"
"CA052010574","F","47",51,"Magombe East (20)"
"CA041510425","F","74",51,"Namboboto (15)"
"CA051810515","F","50",51,"Luanda (18)"
"CA031110304","F","59",51,"Ikonzo (11)"
"CA031310364","F","49",51,"Yiro West (13)"
"CA031310370","M","32",21,"Yiro West (13)"
"CA031310371","M","36",21,"Yiro West (13)"
"CA031310375","M","19",6,"Yiro West (13)"
"CA010110010","M","50",31,"East Siboti (1)"
"CA010110006","F","NA",46,"East Siboti (1)"
"CA010110007","F","NA",46,"East Siboti (1)"
"CA010110008","M","NA",36,"East Siboti (1)"
"CA010110005","F","69",51,"East Siboti (1)"
"CA020610157","F","NA",46,"Karisa (6)"
"CA020610164","F","29",16,"Karisa (6)"
"CA020610156","M","NA",46,"Karisa (6)"
"CA020610155","F","76.5",51,"Karisa (6)"
"CA041610452","F","60.5",51,"Ojwando B (16)"
"CA041610454","F","58.5",51,"Ojwando B (16)"
"CA020410094","F","43.5",51,"Mabusi (4)"
"CA020410095","M","NA",36,"Mabusi (4)"
"CA020410096","F","NA",36,"Mabusi (4)"
"CA020410098","M","61",31,"Mabusi (4)"
"CA020410097","F","43",31,"Mabusi (4)"
"CA020410099","F","43",26,"Mabusi (4)"
"CA030710185","M","68",51,"Otimong (7)"
"CA030710184","M","63",51,"Otimong (7)"
"CA030710189","F","40",31,"Otimong (7)"
"CA030710188","M","NA",36,"Otimong (7)"
"CA030710193","M","31",21,"Otimong (7)"
"CA051910551","F","17",16,"Bujwanga (19)"
"CA041710489","F","28",21,"Kodiere (17)"
"CA010310066","F","28.5",31,"Kokare (3)"
"CA010310068","F","40",26,"Kokare (3)"
"CA010310067","F","55",31,"Kokare (3)"
"CA010310074","M","28",6,"Kokare (3)"
"CA030910254","F","22",6,"Bulwani (9)"
"CA030910250","M","30.5",21,"Bulwani (9)"
"CA030910244","M","NA",36,"Bulwani (9)"
"CA030910246","F","38",31,"Bulwani (9)"
"CA030910253","M","22",11,"Bulwani (9)"
"CA051810517","M","NA",41,"Luanda (18)"
"CA041610459","F","NA",22.8571428571429,"Ojwando B (16)"
"CA030810216","M","44.5",51,"Igero (8)"
"CA030810221","M","31",26,"Igero (8)"
"CA030810218","M","NA",36,"Igero (8)"
"CA030810223","M","65",21,"Igero (8)"
"CA030810219","M","60",31,"Igero (8)"
"CA031310366","F","31.5",51,"Yiro West (13)"
"CA031310375","M","22",11,"Yiro West (13)"
"CA031310372","F","31",21,"Yiro West (13)"
"CA031310371","M","36",26,"Yiro West (13)"
"CA010110010","M","NA",36,"East Siboti (1)"
"CA010110006","F","78",51,"East Siboti (1)"
"CA010110007","F","105",51,"East Siboti (1)"
"CA010110008","M","NA",41,"East Siboti (1)"
"CA010110009","F","NA",41,"East Siboti (1)"
"CA020610156","M","71",51,"Karisa (6)"
"CA020610166","F","47",11,"Karisa (6)"
"CA020610157","F","54.5",51,"Karisa (6)"
"CA020610164","F","35",21,"Karisa (6)"
"CA020610165","M","46",16,"Karisa (6)"
"CA010210034","F","79",51,"Kidera (2)"
"CA020510124","M","60",51,"Kamunuoit (5)"
"CA041610465","F","23",1,"Ojwando B (16)"
"CA031310377","M","20",1,"Yiro West (13)"
"CA020510135","M","NA",7,"Kamunuoit (5)"
"CA031410403","F","NA",17.2857142857143,"Simur East (14)"
"CA030710199","F","18",1,"Otimong (7)"
"CA020410098","M","NA",36,"Mabusi (4)"
"CA041510430","M","NA",22.4285714285714,"Namboboto (15)"
"CA041510434","F","NA",12.7142857142857,"Namboboto (15)"
"CA031010274","M","40",51,"Bukati (10)"
"CA031410393","F","65",51,"Simur East (14)"
"CA031410392","F","49",51,"Simur East (14)"
"CA020410108","M","16",1,"Mabusi (4)"
"CA010310076","F","19",1,"Kokare (3)"
"CA020410109","M","26",1,"Mabusi (4)"
"CA030910257","M","16",1,"Bulwani (9)"
"CA041610466","F","19",1,"Ojwando B (16)"
"CA031310378","M","18",1,"Yiro West (13)"
"CA051910557","F","17",1,"Bujwanga (19)"
"CA031410407","M","18",1,"Simur East (14)"
"CA031410408","F","15",1,"Simur East (14)"
"CA010210047","F","16.5",1,"Kidera (2)"
"CA010310077","F","17",1,"Kokare (3)"
"CA051810526","F","19.5",1,"Luanda (18)"
"CA041710497","M","18",1,"Kodiere (17)"
"CA031110317","F","11",1,"Ikonzo (11)"
"CA020510138","M","19",1,"Kamunuoit (5)"
"CA010210041","M","NA",31.5714285714286,"Kidera (2)"
"CA031010287","M","27",1,"Bukati (10)"
"CA052010586","M","17",1,"Magombe East (20)"
"CA052010587","M","22",1,"Magombe East (20)"
"CA041710498","F","17",1,"Kodiere (17)"
"CA031310379","F","20.5",1,"Yiro West (13)"
"CA010310078","F","16",1,"Kokare (3)"
"CA031010288","M","18.5",1,"Bukati (10)"
"CA010110021","M","19.5",1,"East Siboti (1)"
"CA020610170","F","17",1,"Karisa (6)"
"CA031110318","M","25",1,"Ikonzo (11)"
"CA031310380","M","19",1,"Yiro West (13)"
"CA020610171","M","26",1,"Karisa (6)"
"CA031210344","M","NA",4.28571428571429,"Bumala A (12)"
"CA030710201","M","18.5",1,"Otimong (7)"
"CA030710200","F","13",1,"Otimong (7)"
"CA041610468","M","17",1,"Ojwando B (16)"
"CA041710499","M","18.5",1,"Kodiere (17)"
"CA031110305","M","54",51,"Ikonzo (11)"
"CA031210342","F","29",21,"Bumala A (12)"
"CA031210340","F","58",21,"Bumala A (12)"
"CA031210343","M","25",6,"Bumala A (12)"
"CA041610464","F","28",11,"Ojwando B (16)"
"CA030710193","M","40",26,"Otimong (7)"
"CA020410102","M","41",21,"Mabusi (4)"
"CA020410101","M","44",26,"Mabusi (4)"
"CA020410105","M","26",11,"Mabusi (4)"
"CA020410106","F","21",11,"Mabusi (4)"
"CA020410100","M","65",31,"Mabusi (4)"
"CA020410096","F","NA",41,"Mabusi (4)"
"CA030710188","M","NA",41,"Otimong (7)"
"CA030710198","F","25",6,"Otimong (7)"
"CA030710196","M","28",11,"Otimong (7)"
"CA030710189","F","NA",36,"Otimong (7)"
"CA030910250","M","NA",25.4285714285714,"Bulwani (9)"
"CA051910552","M","47",16,"Bujwanga (19)"
"CA051910555","F","24",6,"Bujwanga (19)"
"CA031210344","M","16",1,"Bumala A (12)"
"CA041710488","M","51",31,"Kodiere (17)"
"CA051910554","F","36",11,"Bujwanga (19)"
"CA051910556","M","NA",6,"Bujwanga (19)"
"CA041710489","F","44",26,"Kodiere (17)"
"CA010310071","M","27",21,"Kokare (3)"
"CA010310070","F","45",26,"Kokare (3)"
"CA010310075","M","24",6,"Kokare (3)"
"CA010310066","F","NA",36,"Kokare (3)"
"CA030910245","M","NA",36,"Bulwani (9)"
"CA030910250","M","33",26,"Bulwani (9)"
"CA030910247","F","NA",31,"Bulwani (9)"
"CA030910248","M","54",31,"Bulwani (9)"
"CA030910251","F","38",21,"Bulwani (9)"
"CA030910255","M","27",11,"Bulwani (9)"
"CA031410404","F","24",16,"Simur East (14)"
"CA031410401","M","27",26,"Simur East (14)"
"CA031410403","F","27",21,"Simur East (14)"
"CA031410402","F","30",21,"Simur East (14)"
"CA031410405","F","31",11,"Simur East (14)"
"CA031410400","F","52",26,"Simur East (14)"
"CA010210045","F","43",11,"Kidera (2)"
"CA010210039","M","NA",36,"Kidera (2)"
"CA010210041","M","NA",31,"Kidera (2)"
"CA010210042","F","NA",26,"Kidera (2)"
"CA010210040","F","51",31,"Kidera (2)"
"CA031010283","M","NA",26,"Bukati (10)"
"CA031010285","M","42",11,"Bukati (10)"
"CA031010277","F","NA",41,"Bukati (10)"
"CA031010282","F","45",26,"Bukati (10)"
"CA031010284","F","47",16,"Bukati (10)"
"CA041510427","M","NA",41,"Namboboto (15)"
"CA041510431","M","35",26,"Namboboto (15)"
"CA041510428","F","NA",36,"Namboboto (15)"
"CA041510430","M","37",26,"Namboboto (15)"
"CA041510429","M","60",31,"Namboboto (15)"
"CA052010575","F","NA",46,"Magombe East (20)"
"CA020510126","F","NA",46,"Kamunuoit (5)"
"CA020510135","M","36",11,"Kamunuoit (5)"
"CA020510131","F","33",31,"Kamunuoit (5)"
"CA020510132","M","40",26,"Kamunuoit (5)"
"CA031110312","F","39",26,"Ikonzo (11)"
"CA031110313","F","37",21,"Ikonzo (11)"
"CA031110311","M","38",26,"Ikonzo (11)"
"CA031110310","F","46",31,"Ikonzo (11)"
"CA031110307","F","NA",41,"Ikonzo (11)"
