"calf_id","calf_sex","weight","sample_week","agro_ecological_zones"
"CA010210031","F","36",21,"Kidera (2)"
"CA010310064","M","23",11,"Kokare (3)"
"CA010310061","F","27",21,"Kokare (3)"
"CA010310063","M","37.5",16,"Kokare (3)"
"CA010310062","F","28",16,"Kokare (3)"
"CA031010272","M","51",21,"Bukati (10)"
"CA031010273","M","29",16,"Bukati (10)"
"CA031010274","M","33",11,"Bukati (10)"
"CA031010275","F","36",11,"Bukati (10)"
"CA030710185","M","47",11,"Otimong (7)"
"CA030710186","M","33",6,"Otimong (7)"
"CA030710184","M","33",11,"Otimong (7)"
"CA020410091","M","41",21,"Mabusi (4)"
"CA020410092","M","30",21,"Mabusi (4)"
"CA041510425","F","21",11,"Namboboto (15)"
"CA041510421","M","45",21,"Namboboto (15)"
"CA041510423","F","36",16,"Namboboto (15)"
"CA041510424","F","26",16,"Namboboto (15)"
"CA052010571","M","44",21,"Magombe East (20)"
"CA052010572","M","37",16,"Magombe East (20)"
"CA052010574","F","21",11,"Magombe East (20)"
"CA020510121","F","34",21,"Kamunuoit (5)"
"CA020510122","M","39",21,"Kamunuoit (5)"
"CA020510123","M","28",16,"Kamunuoit (5)"
"CA031110301","F","35",16,"Ikonzo (11)"
"CA031110302","M","45",16,"Ikonzo (11)"
"CA031110303","F","28.5",16,"Ikonzo (11)"
"CA031110305","M","26",11,"Ikonzo (11)"
"CA031110304","F","31",11,"Ikonzo (11)"
"CA030810215","F","30",16,"Igero (8)"
"CA030810216","M","23",11,"Igero (8)"
"CA030810212","M","49",21,"Igero (8)"
"CA030810213","M","23",21,"Igero (8)"
"CA031310363","M","34",16,"Yiro West (13)"
"CA031310362","M","45",21,"Yiro West (13)"
"CA010110001","F","35",26,"East Siboti (1)"
"CA010110005","F","33",16,"East Siboti (1)"
"CA010110002","M","40",26,"East Siboti (1)"
"CA010110007","F","43",11,"East Siboti (1)"
"CA010110004","F","41",21,"East Siboti (1)"
"CA010110006","F","35",11,"East Siboti (1)"
"CA020610157","F","26",11,"Karisa (6)"
"CA020610153","F","43",21,"Karisa (6)"
"CA020610152","M","71",26,"Karisa (6)"
"CA020610156","M","34",11,"Karisa (6)"
"CA020610151","M","39",21,"Karisa (6)"
"CA031210333","M","36",16,"Bumala A (12)"
"CA031210334","M","34",11,"Bumala A (12)"
"CA031210331","M","42",26,"Bumala A (12)"
"CA041610452","F","30",16,"Ojwando B (16)"
"CA041610454","F","29",16,"Ojwando B (16)"
"CA041610451","F","26",21,"Ojwando B (16)"
"CA020410093","M","30",21,"Mabusi (4)"
"CA020410094","F","35",16,"Mabusi (4)"
"CA020410092","M","36",26,"Mabusi (4)"
"CA020410091","M","47",26,"Mabusi (4)"
"CA030710185","M","48",16,"Otimong (7)"
"CA030710181","F","46",26,"Otimong (7)"
"CA030710186","M","36",11,"Otimong (7)"
"CA030710182","M","47",21,"Otimong (7)"
"CA030710184","M","35",16,"Otimong (7)"
"CA041710482","M","56",26,"Kodiere (17)"
"CA010310061","F","28",26,"Kokare (3)"
"CA010310064","M","25",16,"Kokare (3)"
"CA030910241","F","45",26,"Bulwani (9)"
"CA030910243","F","32",21,"Bulwani (9)"
"CA020410095","M","NA",1.28571428571429,"Mabusi (4)"
"CA010110002","M","NA",27.5714285714286,"East Siboti (1)"
"CA030910242","F","39",26,"Bulwani (9)"
"CA020510123","M","13",1,"Kamunuoit (5)"
"CA031110301","F","15",1,"Ikonzo (11)"
"CA052010572","M","18.5",1,"Magombe East (20)"
"CA031110302","M","20",1,"Ikonzo (11)"
"CA041510423","F","18",1,"Namboboto (15)"
"CA031110303","F","13",1,"Ikonzo (11)"
"CA041510424","F","15",1,"Namboboto (15)"
"CA030810215","F","16",1,"Igero (8)"
"CA020610155","F","14",1,"Karisa (6)"
"CA010110005","F","18.5",1,"East Siboti (1)"
"CA031210333","M","19.5",1,"Bumala A (12)"
"CA031310364","F","13",1,"Yiro West (13)"
"CA031310363","M","16.5",1,"Yiro West (13)"
"CA030710185","M","23.5",1,"Otimong (7)"
"CA030710184","M","16.5",1,"Otimong (7)"
"CA041610452","F","14",1,"Ojwando B (16)"
"CA041610454","F","16.5",1,"Ojwando B (16)"
"CA010310064","M","16.5",1,"Kokare (3)"
"CA010210034","F","18.5",1,"Kidera (2)"
"CA051810515","F","12.5",1,"Luanda (18)"
"CA051810511","M","26",11,"Luanda (18)"
"CA031010274","M","15",1,"Bukati (10)"
"CA031010275","F","25",1,"Bukati (10)"
"CA041510425","F","10",1,"Namboboto (15)"
"CA031110305","M","17",1,"Ikonzo (11)"
"CA031110304","F","12.5",1,"Ikonzo (11)"
"CA030710185","M","NA",3.71428571428571,"Otimong (7)"
"CA020510124","M","16",1,"Kamunuoit (5)"
"CA052010574","F","14",1,"Magombe East (20)"
"CA052010572","M","25",6,"Magombe East (20)"
"CA031310365","F","15",1,"Yiro West (13)"
"CA030810216","M","16",1,"Igero (8)"
"CA031410392","F","15",1,"Simur East (14)"
"CA031310366","F","16",1,"Yiro West (13)"
"CA010110006","F","19",1,"East Siboti (1)"
"CA010110007","F","19.5",1,"East Siboti (1)"
"CA010310062","F","NA",9.42857142857143,"Kokare (3)"
"CA030710185","M","NA",5,"Otimong (7)"
"CA020610157","F","16",1,"Karisa (6)"
"CA020610156","M","18",1,"Karisa (6)"
"CA020610151","M","32",11,"Karisa (6)"
"CA031410393","F","13",1,"Simur East (14)"
"CA031210334","M","17.5",1,"Bumala A (12)"
"CA030710186","M","20.5",1,"Otimong (7)"
"CA010210035","F","16",1,"Kidera (2)"
"CA010210036","F","15",1,"Kidera (2)"
"CA041610451","F","24.5",16,"Ojwando B (16)"
"CA041610454","F","27",11,"Ojwando B (16)"
"CA030910242","F","37",21,"Bulwani (9)"
"CA030910241","F","33",21,"Bulwani (9)"
"CA030910243","F","27",16,"Bulwani (9)"
"CA031010276","M","19",1,"Bukati (10)"
"CA051810517","M","18",1,"Luanda (18)"
"CA030710182","M","42",16,"Otimong (7)"
"CA030710181","F","40",21,"Otimong (7)"
"CA051810511","M","NA",21.2857142857143,"Luanda (18)"
"CA020410093","M","26",16,"Mabusi (4)"
"CA020510125","F","16",1,"Kamunuoit (5)"
"CA052010575","F","14",1,"Magombe East (20)"
"CA020510124","M","40",11,"Kamunuoit (5)"
"CA031110306","F","17",1,"Ikonzo (11)"
"CA020510126","F","17",1,"Kamunuoit (5)"
"CA030810217","M","17",1,"Igero (8)"
"CA031310364","F","28",16,"Yiro West (13)"
"CA031310366","F","26",11,"Yiro West (13)"
"CA031310361","M","30",26,"Yiro West (13)"
"CA020610158","M","16",1,"Karisa (6)"
"CA020610159","F","16.5",1,"Karisa (6)"
"CA020410093","M","NA",19.8571428571429,"Mabusi (4)"
