"sample_week","n_infected","n_calves","prop"
"01",93,451,0.206208425720621
"02",22,24,0.916666666666667
"03",3,4,0.75
"06",142,405,0.350617283950617
"11",191,399,0.478696741854637
"16",215,387,0.555555555555556
"21",243,391,0.621483375959079
"26",253,389,0.650385604113111
"31",240,379,0.633245382585752
"36",226,372,0.60752688172043
"41",236,369,0.639566395663957
"46",243,370,0.656756756756757
"51",242,357,0.677871148459384
